id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kondisi_lab,jumlah_lab,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,BAIK,8,UNIT,2017/2018
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,RUSAK RINGAN,9,UNIT,2017/2018
3,32,JAWA BARAT,3201,KABUPATEN BOGOR,RUSAK SEDANG,1,UNIT,2017/2018
4,32,JAWA BARAT,3201,KABUPATEN BOGOR,RUSAK BERAT,0,UNIT,2017/2018
5,32,JAWA BARAT,3201,KABUPATEN BOGOR,RUSAK TOTAL,0,UNIT,2017/2018
6,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,BAIK,9,UNIT,2017/2018
7,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,RUSAK RINGAN,9,UNIT,2017/2018
8,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,RUSAK SEDANG,0,UNIT,2017/2018
9,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,RUSAK BERAT,0,UNIT,2017/2018
10,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,RUSAK TOTAL,0,UNIT,2017/2018
11,32,JAWA BARAT,3203,KABUPATEN CIANJUR,BAIK,8,UNIT,2017/2018
12,32,JAWA BARAT,3203,KABUPATEN CIANJUR,RUSAK RINGAN,8,UNIT,2017/2018
13,32,JAWA BARAT,3203,KABUPATEN CIANJUR,RUSAK SEDANG,0,UNIT,2017/2018
14,32,JAWA BARAT,3203,KABUPATEN CIANJUR,RUSAK BERAT,1,UNIT,2017/2018
15,32,JAWA BARAT,3203,KABUPATEN CIANJUR,RUSAK TOTAL,1,UNIT,2017/2018
16,32,JAWA BARAT,3204,KABUPATEN BANDUNG,BAIK,4,UNIT,2017/2018
17,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RUSAK RINGAN,1,UNIT,2017/2018
18,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RUSAK SEDANG,0,UNIT,2017/2018
19,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RUSAK BERAT,0,UNIT,2017/2018
20,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RUSAK TOTAL,0,UNIT,2017/2018
21,32,JAWA BARAT,3205,KABUPATEN GARUT,BAIK,3,UNIT,2017/2018
22,32,JAWA BARAT,3205,KABUPATEN GARUT,RUSAK RINGAN,6,UNIT,2017/2018
23,32,JAWA BARAT,3205,KABUPATEN GARUT,RUSAK SEDANG,0,UNIT,2017/2018
24,32,JAWA BARAT,3205,KABUPATEN GARUT,RUSAK BERAT,0,UNIT,2017/2018
25,32,JAWA BARAT,3205,KABUPATEN GARUT,RUSAK TOTAL,0,UNIT,2017/2018
26,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,BAIK,6,UNIT,2017/2018
27,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,RUSAK RINGAN,5,UNIT,2017/2018
28,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,RUSAK SEDANG,0,UNIT,2017/2018
29,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,RUSAK BERAT,0,UNIT,2017/2018
30,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,RUSAK TOTAL,0,UNIT,2017/2018
31,32,JAWA BARAT,3207,KABUPATEN CIAMIS,BAIK,6,UNIT,2017/2018
32,32,JAWA BARAT,3207,KABUPATEN CIAMIS,RUSAK RINGAN,4,UNIT,2017/2018
33,32,JAWA BARAT,3207,KABUPATEN CIAMIS,RUSAK SEDANG,0,UNIT,2017/2018
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,RUSAK BERAT,1,UNIT,2017/2018
35,32,JAWA BARAT,3207,KABUPATEN CIAMIS,RUSAK TOTAL,0,UNIT,2017/2018
36,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,BAIK,3,UNIT,2017/2018
37,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,RUSAK RINGAN,1,UNIT,2017/2018
38,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,RUSAK SEDANG,0,UNIT,2017/2018
39,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,RUSAK BERAT,1,UNIT,2017/2018
